Mulheres,,,,,Mãe,,,,Pai,,
Aluna(n°USP),Altura(m),Peso (kg),Pé,,Altura(m),Peso (kg),Pé,,Altura(m),Peso (kg),Pé
7995813,"1,63",58,37,,"1,7",75,38,,"1,72",85,40
8541648,"1,59",47,32,,"1,56",69,34,,"1,58",55,37
8604683,"1,69",62,37,,"1,67",67,39,,"1,76",141,42
8946692,"1,62",72,38,,"1,67",64,39,,"1,75",72,41
8946250,"1,65",60,36,,"1,64",64,36,,"1,73",71,39
8946073,"1,68",53,38,,"1,56",59,36,,"1,78",92,44
8946389,"1,63",54,38,,"1,62",62,36,,"1,82",83,43
8946052,"1,59",68,35,,"1,6",74,38,,"1,76",90,42
8946733,"1,59",53,37,,"1,55",70,35,,"1,8",80,42
8545698,"1,5",48,33,,"1,53",54,34,,"1,67",95,38
9051185,"1,65",64,35,,"1,6",53,36,,"1,7",80,39
8945986,"1,57",55,35,,"1,5",69,33,,"1,6",75,38
8946517,"1,65",58,37,,"1,55",60,35,,"1,82",95,42
8000533,"1,53",52,35,,"1,5",79,34,,"1,71",73,41
8541885,"1,69",55,37,,"1,68",67,37,,"1,83",85,42
8946393,"1,65",53,36,,"1,6",87,37,,"1,72",90,41
7587112,"1,57",56,35,,"1,57",68,35,,"1,7",85,39
7995577,"1,63",58,36,,"1,67",67,38,,"1,81",94,42
8541843,"1,66",58,38,,"1,69",74,39,,"1,73",79,41
8541231,"1,54",42,34,,"1,55",60,35,,"1,8",69,40
8541551,"1,66",60,37,,"1,55",75,37,,"1,88",75,44
8541565,"1,63",44,35,,"1,6",93,36,,"1,7",73,42
9028309,"1,69",64,39,,"1,53",48,33,,"1,72",74,41
8946031,"1,7",60,37,,"1,65",60,37,,"1,75",80,40
8656987,"1,58",52,34,,"1,67",60,36,,"1,72",93,40
8946455,"1,72",67,39,,"1,79",80,39,,"1,9",110,42
8946542,"1,58",62,36,,"1,61",51,36,,"1,69",73,40
8946094,"1,65",51,36,,"1,61",65,36,,"1,85",85,42
8945972,"1,59",48,34,,"1,62",70,34,,"1,7",80,38
8541850,"1,6",54,37,,"1,53",53,34,,"1,73",80,41
8540734,"1,635",57,36,,"1,5",52,35,,"1,69",77,40
8946761,"1,67",50,37,,"1,63",59,37,,"1,74",78,40
8946027,"1,66",57,35,,"1,68",68,38,,"1,69",80,39
8541781,"1,59",58,36,,"1,55",90,38,,"1,84",110,43
8017517,"1,78",98,39,,"1,8",110,41,,"1,75",91,39
8946010,"1,68",90,39,,"1,72",85,38,,"1,78",120,42
7996140,"1,7",98,39,,"1,6",83,38,,"1,85",120,44
8540988,"1,5",44,35,,"1,55",56,35,,"1,66",65,38
7996481,"1,65",48,36,,"1,62",54,35,,"1,79",102,41
7996216,"1,69",54,37,,"1,71",65,37,,"1,75",110,42
8541627,"1,76",81,42,,"1,59",64,36,,"1,82",61,42
8068779,"1,75",67,38,,"1,65",70,38,,"1,8",80,41
8489419,"1,5",52,35,,"1,5",74,35,,"1,74",82,43
8604745,"1,6",42,35,,"1,55",45,35,,"1,77",80,42
8541871,"1,65",62,36,,"1,62",65,35,,"1,75",85,40
8541544,"1,75",65,37,,"1,69",55,36,,"1,74",98,41
7161890,"1,69",66,38,,"1,6",60,36,,"1,6",80,40
8540612,"1,6",54,38,,"1,61",61,37,,"1,71",79,41
8540992,"1,57",68,37,,"1,59",65,37,,"1,7",90,41
8541252,"1,63",45,36,,"1,55",58,36,,"1,75",68,38
8604616,"1,52",56,35,,"1,45",60,34,,"1,6",59,38
8652200,"1,56",46,34,,"1,57",70,35,,"1,54",49,35
7697612,"1,55",53,36,,"1,58",85,38,,"1,63",80,42
7560846,"1,67",53,37,,"1,6",75,38,,"1,82",78,41
8627125,"1,7",55,37,,"1,57",68,36,,"1,73",70,40
2027719,"1,78",71,42,,"1,62",67,37,,"1,71",71,38
6552783,"1,67","79,5",39,,"1,65",93,39,,"1,7",80,41
5367026,"1,76",63,37,,"1,63",60,37,,"1,82",90,42
,,,,,,,,,,,
Homens,,,,,Mãe,,,,Pai,,
Aluno(n°USP),Altura(m),Peso (kg),Pé,,Altura(m),Peso (kg),Pé,,Altura(m),Peso (kg),Pé
8937591,"1,78",68,41,,"1,6",74,34,,"1,61",67,41
8584031,"1,84",78,44,,"1,75",75,39,,"1,73",97,40
5000997,"1,78",66,41,,"1,62",72,37,,"1,64",68,41
7994750,"1,73",61,42,,"1,54",59,35,,"1,71",81,39
7291760,"1,85",120,42,,"1,65",100,39,,"1,78",96,40
8541141,"1,88",77,44,,"1,6",65,35,,"1,86",95,44
8946952,"1,8",65,40,,"1,53",62,33,,"1,68",70,42
8946754,"1,68",60,39,,"1,6",68,36,,"1,71",71,41
7995730,"1,7",77,42,,"1,61",64,36,,"1,83",94,43
8946650,"1,85",78,41,,"1,7",80,37,,"1,75",73,40
8642898,"1,9",96,45,,"1,73",91,38,,"1,86",86,43
8657286,"1,8",59,39,,"1,58",53,33,,"1,82",90,42
8981158,"1,83",90,43,,"1,67",65,36,,"1,78",75,42
8946712,"1,8",115,43,,"1,58",68,35,,"1,8",78,42
8946688,"1,77",80,40,,"1,73",75,37,,"1,69",95,41
8541381,"1,71",69,38,,"1,57",52,35,,"1,71",81,39
7996391,"1,8",81,42,,"1,72",70,36,,"1,73",76,41
8946218,"1,8",65,40,,"1,67",78,37,,"1,79",70,40
8541203,"1,86",55,42,,"1,68",75,37,,"1,86",95,44
8541360,"1,75",64,40,,"1,64",72,37,,"1,76",90,44
8541864,"1,73",75,41,,"1,58",79,35,,"1,68",81,41
8541033,"1,62",49,39,,"1,49",80,36,,"1,7",75,39
8946667,"1,75",66,40,,"1,65",52,36,,"1,79",77,41
4303440,"1,85",83,43,,"1,58",70,36,,"1,83",130,42
8541266,"1,78",71,40,,"1,62",55,35,,"1,7",78,40
8541029,"1,75","67,5",40,,"1,7",65,38,,"1,85",95,42
3556145,"1,64",55,38,,"1,5",54,35,,"1,67",68,38
8068852,"1,83",104,43,,"1,72",85,38,,"1,75",85,38
8541120,"1,83",71,44,,"1,65",60,36,,"1,83",92,43
7995581,"1,7",55,40,,"1,64",54,37,,"1,67",70,38
7140628,"1,81",74,41,,"1,65",62,37,,"1,71",122,41
8541590,"1,7",70,42,,"1,62",80,36,,"1,65",80,39
8541530,"1,77",68,41,,"1,61",69,37,,"1,74",89,42
8068866,"1,73",61,41,,"1,53",60,37,,"1,65",83,39
8541756,"1,8",70,41,,"1,63",60,37,,"1,7",75,41
8541040,"1,76",75,42,,"1,66",78,37,,"1,7",70,39
6472492,"1,79",75,42,,"1,62",64,36,,"1,7",82,39
8604662,"1,82",73,42,,"1,64",63,37,,"1,85",117,44
8604710,"1,82",82,41,,"1,69",73,36,,"1,73",70,39
8642881,"1,76",74,41,,"1,65",60,36,,"1,82",85,42
3314180,"1,78",107,41,,"1,7",81,39,,"1,72",75,39
5642617,"1,84",75,42,,"1,65",65,37,,"1,7",78,41
8604752,"1,83",70,42,,"1,65",63,36,,"1,72",62,40
8588286,"1,75",77,42,,"1,7",69,38,,"1,73",83,41
8541179,"1,7",65,38,,"1,6",60,36,,"1,65",65,38
8604703,"1,87",65,41,,"1,82",66,39,,"1,85",85,42
7995921,"1,73",63,41,,"1,65",71,36,,"1,73",83,42
